main_sku,product,sku,component_name,begin_date,end_date,cost
DUR001,Durag de cetim,DUR001VAR003,Durag de cetim azul,01/07/2024,,"6,00"
DUR001,Durag de cetim,DUR001VAR004,Durag de cetim vermelha,01/07/2024,,"6,00"
DUR001,Durag de cetim,DUR001VAR005,Durag de cetim estampa dourada gucci,01/07/2024,,"12,00"
DUR001,Durag de cetim,DUR001VAR006,Durag de cetim rosa pink,01/07/2024,,"6,00"
DUR002,Durag de veludo,DUR002VAR001,Durag de veludo preta,01/07/2024,,"8,00"
DUR002,Durag de veludo,DUR002VAR002,Durag de veludo azul marinho,01/07/2024,,"8,00"
DUR002,Durag de veludo,DUR002VAR003,Durag de veludo vermelha,01/07/2024,,"8,00"
DUR002,Durag de veludo,DUR002VAR004,Durag de veludo roxa,01/07/2024,,"8,00"
DUR002,Durag de veludo,DUR002VAR005,Durag de veludo azul royal,01/07/2024,,"8,00"
DUR002,Durag de veludo,DUR002VAR006,Durag de veludo branca,01/07/2024,,"8,00"
DUR003,Durag silky,DUR003VAR001,Durag silky preta,01/07/2024,,
DUR004,Durag de poliéster,DUR004VAR001,Durag de poliéster preta,01/07/2024,31/10/2024,"4,00"
DUR004,Durag de poliéster,DUR004VAR001,Durag de poliéster preta,01/11/2024,07/11/2024,"5,00"
DUR004,Durag de poliéster,DUR004VAR001,Durag de poliéster preta,08/11/2024,12/12/2024,"6,00"
DUR004,Durag de poliéster,DUR004VAR001,Durag de poliéster preta,13/12/2024,,"4,00"
DUR004,Durag de poliéster,DUR004VAR002,Durag de poliéster branca,01/07/2024,,"4,00"
DUR004,Durag de poliéster,DUR004VAR003,Durag de poliéster azul marinho,01/07/2024,,"4,00"
DUR004,Durag de poliéster,DUR004VAR004,Durag de poliéster vermelha,01/07/2024,,"4,00"
WAV001,Wavecap de poliéster,WAV001VAR001,Wavecap de poliéster preta,01/07/2024,20/12/2024,"3,00"
WAV001,Wavecap de poliéster,WAV001VAR001,Wavecap de poliéster preta,21/12/2024,29/12/2024,"2,00"
WAV001,Wavecap de poliéster,WAV001VAR001,Wavecap de poliéster preta,30/12/2024,,"4,00"
WAV001,Wavecap de poliéster,WAV001VAR002,Wavecap de poliéster branca,01/07/2024,,"3,00"
WAV001,Wavecap de poliéster,WAV001VAR003,Wavecap de poliéster gucci tamanho P,01/07/2024,,"5,00"
WAV001,Wavecap de poliéster,WAV001VAR004,Wavecap de poliéster gucci tamanho M,01/07/2024,,"5,00"
WAV001,Wavecap de poliéster,WAV001VAR005,Wavecap de poliéster azul,01/07/2024,,"3,00"
PRE001,Presilha crocodilo,PRE001VAR001,Presilha crocodilo preto 6 unidades,01/07/2024,,"7,00"
PRE001,Presilha crocodilo,PRE001VAR002,Presilha crocodilo azul 6 unidades,01/07/2024,,
PRE001,Presilha crocodilo,PRE001VAR003,Presilha crocodilo vermelho 6 unidades,01/07/2024,,
PRE001,Presilha crocodilo,PRE001VAR004,Presilha crocodilo rosa claro 6 unidades,01/07/2024,,
PRE001,Presilha crocodilo,PRE001VAR005,Presilha crocodilo roxo 6 unidades,01/07/2024,,
PRE001,Presilha crocodilo,PRE001VAR006,Presilha crocodilo amarelo 6 unidades,01/07/2024,,
PRE002,Presilha carbono,PRE002VAR001,Presilha Carbono preto,01/07/2024,,
PRE003,Presilha de ferro,PRE003VAR001,Presilha de ferro,01/07/2024,,
PRE004,Presilha reta 12 unidades,PRE004VAR001,Presilha reta 12 unidades preta,01/07/2024,,"7,00"
PRE005,Presilha crocodilo carbon clip 6 unidades,PRE005VAR001,Presilha crocodilo carbon clip 6 unidades,01/07/2024,,"8,00"
MIN001,Minoxidil,MIN001VAR001,Minoxidil Dom Pelo,01/07/2024,,"4,00"
ESP002,Espanador de madeira retro/luxo,ESP002VAR001,Espanador de madeira retro/luxo com cerdas pretas,01/07/2024,,"12,50"
ESP002,Espanador de madeira retro/luxo,ESP002VAR002,Espanador de madeira retro/luxo com cerdas brancas,01/07/2024,,"13,00"
ESP005,Espanador de madeira redonda para capa,ESP005VAR001,Espanador de madeira redonda com cerdas brancas para capa,01/07/2024,,"9,00"
ESP003,Espanador de plástico redondo para capa,ESP003VAR001,Espanador dourada de plástico redonda com cerdas brancas para capa,01/07/2024,,
ESP003,Espanador de plástico redondo para capa,ESP003VAR002,Espanador preta de plástico redonda com cerdas pretas para capa,01/07/2024,,"6,00"
ESP004,Espanador bolinha para capa,ESP004VAR001,Espanador bolinha para capa com cabo prata,01/07/2024,27/08/2024,"8,00"
ESP004,Espanador bolinha para capa,ESP004VAR001,Espanador bolinha para capa com cabo prata,28/08/2024,12/12/2024,"5,00"
ESP004,Espanador bolinha para capa,ESP004VAR001,Espanador bolinha para capa com cabo prata,13/12/2024,,"7,00"
ESP004,Espanador bolinha para capa,ESP004VAR002,Espanador bolinha para capa com cabo preto,01/07/2024,,"8,00"
ESP004,Espanador bolinha para capa,ESP004VAR003,Espanador bolinha para capa com cabo preto escrito hairdo,01/07/2024,,"8,00"
ESC001,Escova disfarce para barba quadrada,ESC001VAR001,Escova disfarce para barba quadrada preta de plástico,01/07/2024,,"3,80"
ESC001,Escova disfarce para barba quadrada,ESC001VAR002,Escova disfarce para barba quadrada prata de plástico,01/07/2024,,"3,80"
ESC001,Escova disfarce para barba quadrada,ESC001VAR003,Escova disfarce para barba quadrada dourada de plástico,01/07/2024,,"3,80"
ESC002,Escova disfarce de dedo,ESC002VAR001,"Escova disfarce de dedo para barba, preta",01/07/2024,,"7,80"
ESC003,Escova disfarce pole oval,ESC003VAR001,Escova disfarce pole oval cerdas claras,01/07/2024,,"13,00"
ESC004,Escova disfarce tipo Annie,ESC004VAR001,Escova disfarce tipo Annie marrom,01/07/2024,,"10,00"
ESC005,Escova Javali com cerdas duplas de madeira,ESC005VAR001,Escova Javali com cerdas duplas de madeira P,01/07/2024,,"13,00"
ESC006,Escova Medium Javali premium,ESC006VAR001,Escova Medium Javali premium,01/07/2024,,"20,00"
ESC007,Escova Cilíndrica Daily Marco Boni 30 mm,ESC007VAR001,Escova Cilíndrica Daily Marco Boni 30 mm azul,01/07/2024,,"13,00"
ESC007,Escova Cilíndrica Daily Marco Boni 30 mm,ESC007VAR002,Escova Cilíndrica Daily Marco Boni 30 mm preta,01/07/2024,,"13,00"
ESC008,Escova Marco Boni Antiestática Roxa,ESC008VAR001,Escova Marco Boni Antiestática Roxa,01/07/2024,,"25,00"
ESC009,Escova Disfarce Oval com furo na ponta,ESC009VAR001,Escova Disfarce Oval com furo na ponta,01/07/2024,,"10,00"
ESC010,Escova Cilíndrica Vermelha genérica,ESC010VAR001,Escova Cilíndrica Vermelha genérica TIPO Marco Boni,01/07/2024,,"10,00"
ESC011,Escova Raquete comum,ESC011VAR001,Escova Raquete comum preta,01/07/2024,,"15,00"
ESC012,Escova Raquete vazada,ESC012VAR001,Escova Raquete vazada azul escuro,01/07/2024,,"15,00"
ESC012,Escova Raquete vazada,ESC012VAR002,Escova Raquete vazada azul claro,01/07/2024,,"15,00"
ESC012,Escova Raquete vazada,ESC012VAR003,Escova Raquete vazada rosa,01/07/2024,,"15,00"
ESC012,Escova Raquete vazada,ESC012VAR004,Escova Raquete vazada vermelho,01/07/2024,,"15,00"
ESC013,Escova Oval,ESC013VAR001,Escova Oval de madeira G,01/07/2024,,"13,00"
ESC013,Escova Oval,ESC013VAR002,Escova Oval de madeira P,01/07/2024,,
ESC014,Escova disfarce para barba com pente,ESC014VAR001,Escova disfarce para barba com pente preta,01/07/2024,,"6,00"
ESC015,Escova disfarce para barba quadrada,ESC015VAR004,Escova disfarce para barba quadrada pole,01/07/2024,,"6,00"
ESC016,Escova Wahl,ESC016VAR001,Escova de madeira tipo Wahl,01/07/2024,,"10,00"
ESC017,Escovinha Babyhair,ESC017VAR001,Escovinha Babyhair várias cores,01/07/2024,,"3,00"
ESC018,Escova disfarce grande,ESC018VAR001,Escova disfarce grande (média) marrom,01/07/2024,,"7,00"
ESC018,Escova disfarce grande,ESC018VAR002,Escova disfarce grande (média) preta,01/07/2024,,"8,00"
ESC019,Kit cinco escovas javali cilíndricas tamanhos diferentes,ESC019VAR001,Kit cinco escovas javali cilíndricas tamanhos diferentes amarelo,01/07/2024,,"100,00"
ESC020,Escova raquete pequena marca Privado,ESC020VAR001,Escova raquete pequena marca Privado Azul,01/07/2024,,"15,00"
ESC021,Escova disfarce para barba quadrada com pente integrado,ESC021VAR001,Escova disfarce para barba quadrada com pente preta,01/07/2024,,"0,00"
CAL001,"Cartela Derby platinum lâmina dupla, 50 un./ cartela",CAL001VAR001,"Cartela Derby platinum lâmina dupla, 50 un./ cartela",01/07/2024,,
CAL002,Cartela Wilkinson Sword lâmina dupla 60 un./ cartela,CAL002VAR001,Cartela Wilkinson Sword lâmina dupla 60 un./ cartela,01/07/2024,,"19,80"
CAL002,Cartela Wilkinson Sword lâmina dupla 60 un./ cartela,CAL002VAR002,1/2 Cartela Wilkinson Sword lâmina dupla 60 un./ cartela,01/07/2024,,"9,90"
CAL003,Cartela Lamix Platinum Plus lâmina dupla 50 un./cartela caixa laranja,CAL003VAR001,Cartela Lamix Platinum Plus lâmina dupla 50 un./cartela caixa laranja,01/07/2024,,
CAL004,Cartela Lamix Premier Plus lâmina dupla 50 un./cartela caixa preta,CAL004VAR001,Cartela Lamix Premier Plus lâmina dupla 50 un./cartela caixa preta,01/07/2024,,
CAL005,Cartela Lamix New Platinum Pro lâmina dupla 50 un./cartela caixa amarela e laranja,CAL005VAR001,Cartela Lamix New Platinum Pro lâmina dupla 50 un./cartela caixa amarela e laranja,01/07/2024,,
CAL006,Cartela Master Barba lâmina dupla 50 un./cartela caixa verde,CAL006VAR001,Cartela Master Barba lâmina dupla 50 un./cartela caixa verde,01/07/2024,,
CAL007,Cartela Super Barba lâmina dupla 60 un./cartela caixa preta,CAL007VAR001,Cartela Super Barba lâmina dupla 60 un./cartela caixa preta,01/07/2024,,
CAL008,Cartela Lord Super lâmina dupla 50 un./cartela,CAL008VAR001,Cartela Lord Super lâmina dupla 50 un./cartela,01/07/2024,,
CAL009,"Caixa Derby Premium meia lâmina com 100 un. / caixa, caixa preta",CAL009VAR001,"Caixa Derby Premium meia lâmina com 100 un. / caixa, caixa preta",01/07/2024,,
CAL010,"Caixa Derby Professional meia lâmina com 100 un. / caixa, caixa verde",CAL010VAR001,"Caixa Derby Professional meia lâmina com 100 un. / caixa, caixa verde",01/07/2024,,
CAL011,Caixa Lord Platinum Saloon meia lâmina com 100 un. / caixa,CAL011VAR001,Caixa Lord Platinum Saloon meia lâmina com 100 un. / caixa,01/07/2024,,"11,90"
CAL012,"Caixa Super Barba meia lâmina com 100 un. / caixa, caixa amarela",CAL012VAR001,"Caixa Super Barba meia lâmina com 100 un. / caixa, caixa amarela",01/07/2024,,
CAL013,Caixa Lord Saloon meia lâmina com 100 un. / caixa,CAL013VAR001,Caixa Lord Saloon meia lâmina com 100 un. / caixa,01/07/2024,,"11,90"
CAL014,Caixa Lord preta platinum com 5 caixinhas,CAL014VAR001,Caixa Lord preta platinum com 5 caixinhas,01/07/2024,,"20,90"
CXL001,Caixa de atacado Wilkinson Sword 1440 lâminas ou 24 cartelas,CXL001VAR001,Caixa de atacado Wilkinson Sword 1440 lâminas ou 24 cartelas,01/07/2024,,
CXL002,Caixa Lord Platinum Saloon Sword 1000 lâminas ou 10 caixas menores,CXL002VAR001,Caixa Lord Platinum Saloon Sword 1000 lâminas ou 10 caixas menores,01/07/2024,,
CXL003,Caixa Super Barba meia lâmina 1000 lâminas ou 10 caixas menores,CXL003VAR001,Caixa Super Barba meia lâmina 1000 lâminas ou 10 caixas menores,01/07/2024,,
LAM001,"Caixinha Derby Platinum lâmina dupla, 5 un./caixinha",LAM001VAR001,"Caixinha Derby Platinum lâmina dupla, 5 un./caixinha",01/07/2024,,
LAM002,"Caixinha Wilkinson Sword lâmina dupla, 3 un./caixinha",LAM002VAR001,"Caixinha Wilkinson Sword lâmina dupla, 3 un./caixinha",01/07/2024,,
LAM003,"Caixinha Lamix Platinum Plus, 5 un./caixinha",LAM003VAR001,"Caixinha Lamix Platinum Plus, 5 un./caixinha",01/07/2024,,
LAM004,"Caixinha Lamix Premier Plus, 5 un./caixinha",LAM004VAR001,"Caixinha Lamix Premier Plus, 5 un./caixinha",01/07/2024,,
LAM005,"Caixinha Lamix New Platinum Pro, 5 un./caixinha",LAM005VAR001,"Caixinha Lamix New Platinum Pro, 5 un./caixinha",01/07/2024,,
LAM006,"Caixinha Master Barba, 5 un./caixinha",LAM006VAR001,"Caixinha Master Barba, 5 un./caixinha",01/07/2024,,
LAM007,"Caixinha Super Barba, 10 un./caixinha",LAM007VAR001,"Caixinha Super Barba, 10 un./caixinha",01/07/2024,,
LAM008,"Caixinha Lord Super, 5 un./caixinha",LAM008VAR001,"Caixinha Lord Super, 5 un./caixinha",01/07/2024,,
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR001,"Capa de cetim 1,45 m preta",01/07/2024,17/08/2024,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR001,"Capa de cetim 1,45 m preta",18/08/2024,03/01/2025,"11,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR001,"Capa de cetim 1,45 m preta",04/01/2025,12/01/2025,"8,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR001,"Capa de cetim 1,45 m preta",13/01/2025,,"13,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR002,"Capa de cetim 1,45 m branca",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR003,"Capa de cetim 1,45 m azul royal",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR004,"Capa de cetim 1,45 m azul marinho",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR005,"Capa de cetim 1,45 m vermelha",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR006,"Capa de cetim 1,45 m verde claro",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR007,"Capa de cetim 1,45 m verde escuro",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR008,"Capa de cetim 1,45 m verde-quase-preto",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR009,"Capa de cetim 1,45 m rosa claro/rosê",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR010,"Capa de cetim 1,45 m rosa pink",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR011,"Capa de cetim 1,45 m grafite",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR012,"Capa de cetim 1,45 m dourado",01/07/2024,,"10,00"
CAP001,"Capa de cetim lisa 1,45 m",CAP001VAR013,"Capa de cetim 1,45 m lilás",01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR001,Capa de cetim infantil Batman,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR002,Capa de cetim infantil Flash,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR003,Capa de cetim infantil Hulk,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR004,Capa de cetim infantil Mulher Maravilha,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR005,Capa de cetim infantil Homem Aranha,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR006,Capa de cetim infantil Thor,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR007,Capa de cetim infantil Homem de Ferro,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR008,Capa de cetim infantil Super Homem,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR009,Capa de cetim infantil Capitão América,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR010,Capa de cetim infantil gravatinha,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR011,Capa de cetim infantil Barbie Rosa claro/rosê,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR012,Capa de cetim infantil Barbie Rosa pink,01/07/2024,,"10,00"
CAP002,Capa de cetim infantil,CAP002VAR013,Capa de cetim infantil Azul Royal,01/07/2024,,"7,00"
CAP002,Capa de cetim infantil,CAP002VAR014,Capa de cetim infantil Vermelha,01/07/2024,,"7,00"
CAP002,Capa de cetim infantil,CAP002VAR015,Capa de cetim infantil Preta,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR001,Capa Silky NBA 94,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR002,Capa Silky Heineken,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR003,Capa Silky Jack Daniels,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR004,Capa Silky Caveira Vermelha,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR005,Capa Silky Escudo da fé,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR006,Capa Silky Tesoura,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR007,Capa Silky Caveira com Touca,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR008,Capa Silky Caveira Barber Shop,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR009,Capa Silky Guccii,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR010,Capa silky Barber pole,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR011,Capa Silky Lacoste,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR012,Capa Silky Paris,01/07/2024,,"13,00"
CAP003,Capa Silky adulta estampada,CAP003VAR013,Capa Silky Caveira Navalhete,01/07/2024,,"13,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR001,Capa personalizada Adidas Sorvete,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR002,Capa personalizada Canário Barber Shop,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR003,Capa personalizada Nike Just Do It,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR004,Capa personalizada Homer Jordan Rosquinha,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR005,Capa personalizada Tio Patinhas Gold,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR006,Capa personalizada Tio Patinhas Metralha,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR007,Capa personalizada Tio Patinhas Metralha Escuro,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR008,Capa personalizada Irmãos Metralhas,01/07/2024,,"16,00"
CAP010,Capa de cetim adulta estampada,CAP010VAR001,Capa de Cetim Xadrez,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR009,Capa personalizada Chiquinha,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR010,Capa personalizada Seu Madruga,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR011,Capa personalizada Simpsons Chuveiro,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR012,Capa personalizada Coringa hahaha,01/07/2024,,"16,00"
CAP003,Capa Silky adulta estampada,CAP003VAR014,Capa Silky Jack Daniels,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR013,Capa personalizada Tio Patinhas Dólar,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR014,Capa personalizada Tio Patinhas Supreme Preto,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR015,Capa personalizada Tio Patinhas USA,01/07/2024,,"16,00"
CAP003,Capa Silky adulta estampada,CAP003VAR015,Capa Silky Caveira Dourada,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR016,Capa personalizada Tio Patinhas Supreme Vermelho,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR017,Capa personalizada Tio patinhas bandeira,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR018,Capa personalizada Tio patinhas bravo,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR019,Capa personalizada Tio patinhas placa,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR020,Capa personalizada Tio patinhas dolar,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR021,Capa personalizada Caveira com fone,01/07/2024,,"6,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR022,Capa personalizada Tio patinhas mina,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR023,Capa personalizada Coringa mão na boca,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR024,Capa personalizada Flamengo,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR025,Capa personalizada Bart azul,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR026,Capa personalizada bart laranja,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR027,Capa personalizada Bart verde,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR028,Capa personalizada Bart e milhouse,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR029,Capa personalizada Bart bone,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR030,Capa personalizada Bob marley,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR031,Capa personilizada NBA,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR032,Capa personalizada Lakers Lebron James,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR033,Capa personalizada Marcas,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR034,Capa personalizada Jordan preto,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR035,Capa personalizada Jordan vermelho,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR036,Capa personalizada Shave cut,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR037,Capa personalizada Zé pequeno,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR038,Capa personalizada Pernalonga,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP003VAR016,Capa Silky Nike Color,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR039,Capa personalizada Skunk doo(scoob doo),01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR040,Capa personalizada brasil canario,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR041,Capa personalizada favela venceu,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR042,Capa personalizada bart duff,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR043,Capa personalizada Bart cinza nova,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR044,Capa personalizada Bart cinza antiga,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR045,Capa personalizada São Paulo,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR046,Capa personalizada Vasco,01/07/2024,,"16,00"
CAP004,Capa Personalizada adulta estampada,CAP004VAR047,Capa personalizada Fluminense,01/07/2024,,"16,00"
CAP005,"Capa de microfibra lisa 1,55 m",CAP005VAR001,"Capa de Microfibra Preta 1,55 m",01/07/2024,,"14,00"
CAP005,"Capa de microfibra lisa 1,55 m",CAP005VAR002,"Capa de Microfibra Branca 1,55 m",01/07/2024,,"14,00"
CAP005,"Capa de microfibra lisa 1,55 m",CAP005VAR003,"Capa de Microfibra Azul 1,55 m",01/07/2024,,"14,00"
CAP005,"Capa de microfibra lisa 1,55 m",CAP005VAR004,"Capa de Microfibra Grafite 1,55 m",01/07/2024,,"14,00"
CAP005,"Capa de microfibra lisa 1,55 m",CAP005VAR005,"Capa de Microfibra Rosa 1,55 m",01/07/2024,,"14,00"
CAP006,"Capa de microfibra lisa 1,80 m",CAP006VAR001,"Capa de Microfibra Preta 1,80m",01/07/2024,,"17,00"
CAP006,"Capa de microfibra lisa 1,80 m",CAP006VAR002,"Capa de Microfibra Branca 1,80m",01/07/2024,,"17,00"
CAP006,"Capa de microfibra lisa 1,80 m",CAP006VAR003,"Capa de Microfibra Azul 1,80m",01/07/2024,,"17,00"
CAP006,"Capa de microfibra lisa 1,80 m",CAP006VAR004,"Capa de Microfibra Grafite 1,80m",01/07/2024,,"17,00"
CAP006,"Capa de microfibra lisa 1,80 m",CAP006VAR005,"Capa de Microfibra Rosa 1,80m",01/07/2024,,"17,00"
CAP007,Capa de microfibra infantil,CAP007VAR001,Capa de Microfibra infantil Princesas 1,01/07/2024,,"15,00"
CAP007,Capa de microfibra infantil,CAP007VAR002,Capa de Microfibra infantil Princesas 2,01/07/2024,,"15,00"
CAP007,Capa de microfibra infantil,CAP007VAR003,Capa de Microfibra infantil Minnie,01/07/2024,,"15,00"
